log
2022-06-01 17:41:04.579996 -> 開始進行資料讀取與處理程序...
"2022-06-01 17:41:04.719485 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0601/Simu', 'MES_FTP/AutoScheduling/2022/0601/20220601080000']"
2022-06-01 17:41:04.719485 [success] -> 篩選資料區間 : 2022060117 <-> 2022060116
2022-06-01 17:41:04.719485 [err] -> MES_FTP/AutoScheduling/2022/0601/ : 內無資料夾
2022-06-01 17:41:04.738458 -> dataDict無資料暫停DB execute。
