log
2022-06-02 12:53:06.430925 -> 開始進行資料讀取與處理程序...
"2022-06-02 12:53:06.542797 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0602/Simu', 'MES_FTP/AutoScheduling/2022/0602/20220602080000']"
2022-06-02 12:53:06.542797 [success] -> 篩選資料區間 : 0601 <-> 0602
2022-06-02 12:53:06.542797 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/
2022-06-02 12:53:06.595927 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 開始進行讀檔
2022-06-02 12:53:06.911674 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 讀檔成功
2022-06-02 12:53:06.912680 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-02 12:53:06.975363 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-02 12:53:06.975363 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 開始進行讀檔
2022-06-02 12:53:08.704551 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 讀檔成功
2022-06-02 12:53:08.705547 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 開始進行讀檔
2022-06-02 12:53:08.916222 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 讀檔成功
2022-06-02 12:53:08.916222 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 開始進行讀檔
2022-06-02 12:53:09.242389 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 讀檔成功
2022-06-02 12:53:09.242389 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 開始進行讀檔
2022-06-02 12:53:14.897529 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 讀檔成功
2022-06-02 12:53:14.897529 -> 完成資料讀取與處理程序。
2022-06-02 12:53:14.910588 -> 開始進行DB execute...
2022-06-02 12:53:14.910588 [success] -> mes_eim : 處理中...  
2022-06-02 12:53:14.957473 [success] -> mes_eim : 完成delete timestamp重複者
2022-06-02 12:53:15.152019 [success] -> mes_eim : 完成將原始資料回壓active='N'
2022-06-02 12:53:15.569214 [success] -> mes_eim : 完成新資料insert(20220602080000) 
2022-06-02 12:53:15.569214 [success] -> mes_gtsdat_stackdieoper : 處理中...  
2022-06-02 12:53:15.604120 [success] -> mes_gtsdat_stackdieoper : 完成delete timestamp重複者
2022-06-02 12:53:15.664920 [success] -> mes_gtsdat_stackdieoper : 完成將原始資料回壓active='N'
2022-06-02 12:53:15.727539 [success] -> mes_gtsdat_stackdieoper : 完成新資料insert(20220602080000) 
2022-06-02 12:53:15.727539 [success] -> mes_ntcent : 處理中...  
2022-06-02 12:53:15.776451 [success] -> mes_ntcent : 完成delete timestamp重複者
2022-06-02 12:53:15.870547 [success] -> mes_ntcent : 完成將原始資料回壓active='N'
2022-06-02 12:53:18.843616 [success] -> mes_ntcent : 完成新資料insert(20220602080000) 
2022-06-02 12:53:18.843616 [success] -> mes_ntclot : 處理中...  
2022-06-02 12:53:18.885508 [success] -> mes_ntclot : 完成delete timestamp重複者
2022-06-02 12:53:18.921409 [success] -> mes_ntclot : 完成將原始資料回壓active='N'
2022-06-02 12:53:19.338304 [success] -> mes_ntclot : 完成新資料insert(20220602080000) 
2022-06-02 12:53:19.338304 [success] -> mes_uph : 處理中...  
2022-06-02 12:53:19.372214 [success] -> mes_uph : 完成delete timestamp重複者
2022-06-02 12:53:19.407120 [success] -> mes_uph : 完成將原始資料回壓active='N'
2022-06-02 12:53:19.665494 [success] -> mes_uph : 完成新資料insert(20220602080000) 
2022-06-02 12:53:19.665494 [success] -> mes_wipoutplantime : 處理中...  
2022-06-02 12:53:19.956331 [success] -> mes_wipoutplantime : 完成delete timestamp重複者
2022-06-02 12:53:20.788318 [success] -> mes_wipoutplantime : 完成將原始資料回壓active='N'
2022-06-02 12:53:38.430871 [success] -> mes_wipoutplantime : 完成新資料insert(20220602080000) 
2022-06-02 12:53:38.430871 -> 完成進行DB execute。
