log
2022-06-02 14:05:34.717530 -> 開始進行資料讀取與處理程序...
"2022-06-02 14:05:34.853995 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0602/Simu', 'MES_FTP/AutoScheduling/2022/0602/20220602080000']"
2022-06-02 14:05:34.854057 [success] -> 篩選資料區間 : 0601 <-> 0602
2022-06-02 14:05:34.854071 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/
2022-06-02 14:05:34.901324 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 開始進行讀檔
2022-06-02 14:05:35.597115 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 讀檔成功
2022-06-02 14:05:35.597201 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-02 14:05:35.670717 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-02 14:05:35.670787 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 開始進行讀檔
2022-06-02 14:05:36.872366 [err] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 讀檔失敗，異常訊息['utf-8' codec can't decode byte 0xb0 in position 3675: invalid start byte]
