log
2022-06-02 14:07:10.660485 -> 開始進行資料讀取與處理程序...
"2022-06-02 14:07:10.752228 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0602/Simu', 'MES_FTP/AutoScheduling/2022/0602/20220602080000']"
2022-06-02 14:07:10.752275 [success] -> 篩選資料區間 : 0601 <-> 0602
2022-06-02 14:07:10.752285 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/
2022-06-02 14:07:10.785841 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 開始進行讀檔
2022-06-02 14:07:11.198846 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 讀檔成功
2022-06-02 14:07:11.198946 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-02 14:07:11.260877 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-02 14:07:11.260960 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 開始進行讀檔
2022-06-02 14:07:13.585914 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 讀檔成功
2022-06-02 14:07:13.586031 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 開始進行讀檔
2022-06-02 14:07:14.110212 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 讀檔成功
2022-06-02 14:07:14.110304 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 開始進行讀檔
2022-06-02 14:07:14.417483 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 讀檔成功
2022-06-02 14:07:14.417572 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 開始進行讀檔
2022-06-02 14:07:24.367523 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 讀檔成功
2022-06-02 14:07:24.389008 -> 完成資料讀取與處理程序。
2022-06-02 14:07:24.389102 -> 開始進行DB execute...
2022-06-02 14:07:24.389158 [success] -> mes_eim : 處理中...  
2022-06-02 14:07:24.420192 [success] -> mes_eim : 完成delete timestamp重複者
2022-06-02 14:07:24.457713 [success] -> mes_eim : 完成將原始資料回壓active='N'
2022-06-02 14:07:24.716884 [success] -> mes_eim : 完成新資料insert(20220602080000) 
2022-06-02 14:07:24.716926 [success] -> mes_gtsdat_stackdieoper : 處理中...  
2022-06-02 14:07:24.733378 [success] -> mes_gtsdat_stackdieoper : 完成delete timestamp重複者
2022-06-02 14:07:24.750135 [success] -> mes_gtsdat_stackdieoper : 完成將原始資料回壓active='N'
2022-06-02 14:07:24.774999 [success] -> mes_gtsdat_stackdieoper : 完成新資料insert(20220602080000) 
2022-06-02 14:07:24.775023 [success] -> mes_ntcent : 處理中...  
2022-06-02 14:07:24.819049 [success] -> mes_ntcent : 完成delete timestamp重複者
2022-06-02 14:07:24.904963 [success] -> mes_ntcent : 完成將原始資料回壓active='N'
2022-06-02 14:07:27.019720 [success] -> mes_ntcent : 完成新資料insert(20220602080000) 
2022-06-02 14:07:27.019767 [success] -> mes_ntclot : 處理中...  
2022-06-02 14:07:27.045765 [success] -> mes_ntclot : 完成delete timestamp重複者
2022-06-02 14:07:27.081411 [success] -> mes_ntclot : 完成將原始資料回壓active='N'
2022-06-02 14:07:27.323456 [success] -> mes_ntclot : 完成新資料insert(20220602080000) 
2022-06-02 14:07:27.323497 [success] -> mes_uph : 處理中...  
2022-06-02 14:07:27.348769 [success] -> mes_uph : 完成delete timestamp重複者
2022-06-02 14:07:27.375152 [success] -> mes_uph : 完成將原始資料回壓active='N'
2022-06-02 14:07:27.517128 [success] -> mes_uph : 完成新資料insert(20220602080000) 
2022-06-02 14:07:27.517179 [success] -> mes_wipoutplantime : 處理中...  
2022-06-02 14:07:27.702625 [success] -> mes_wipoutplantime : 完成delete timestamp重複者
2022-06-02 14:07:28.144506 [success] -> mes_wipoutplantime : 完成將原始資料回壓active='N'
2022-06-02 14:07:38.040616 [success] -> mes_wipoutplantime : 完成新資料insert(20220602080000) 
2022-06-02 14:07:38.046232 -> 完成進行DB execute。
