log
2022-06-02 11:18:25.550588 -> 開始進行資料讀取與處理程序...
"2022-06-02 11:18:25.692318 [success] -> 獲取資料夾 : ['MES_FTP/AutoScheduling/2022/0602/Simu', 'MES_FTP/AutoScheduling/2022/0602/20220602080000']"
2022-06-02 11:18:25.692318 [success] -> 篩選資料區間 : 0601 <-> 0602
2022-06-02 11:18:25.692318 [success] -> 處理資料夾內容 : MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/
2022-06-02 11:18:25.771183 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 開始進行讀檔
2022-06-02 11:18:26.089361 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/eim.csv : 讀檔成功
2022-06-02 11:18:26.089361 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 開始進行讀檔
2022-06-02 11:18:26.165158 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/gtsdat_STACKDIEOPER.csv : 讀檔成功
2022-06-02 11:18:26.165158 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 開始進行讀檔
2022-06-02 11:18:28.010574 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntcent.csv : 讀檔成功
2022-06-02 11:18:28.010574 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 開始進行讀檔
2022-06-02 11:18:28.385057 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/ntclot.csv : 讀檔成功
2022-06-02 11:18:28.385057 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 開始進行讀檔
2022-06-02 11:18:32.911300 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/uph.csv : 讀檔成功
2022-06-02 11:18:32.911300 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 開始進行讀檔
2022-06-02 11:18:38.561538 [success] -> MES_FTP/AutoScheduling/2022/0602/20220602080000/MD/WipOutPlanTime_20220602080636.csv : 讀檔成功
2022-06-02 11:18:38.561538 -> 完成資料讀取與處理程序。
2022-06-02 11:18:38.575508 -> 開始進行DB execute...
2022-06-02 11:18:38.575508 [success] -> mes_eim : 處理中...  
2022-06-02 11:18:38.602439 [success] -> mes_eim : 完成delete timestamp重複者
2022-06-02 11:18:38.659338 [success] -> mes_eim : 完成將原始資料回壓active='N'
2022-06-02 11:18:39.060352 [success] -> mes_eim : 完成新資料insert(20220602080000) 
2022-06-02 11:18:39.060352 [success] -> mes_gtsdat_stackdieoper : 處理中...  
2022-06-02 11:18:39.086282 [success] -> mes_gtsdat_stackdieoper : 完成delete timestamp重複者
2022-06-02 11:18:39.118198 [success] -> mes_gtsdat_stackdieoper : 完成將原始資料回壓active='N'
2022-06-02 11:18:39.160089 [success] -> mes_gtsdat_stackdieoper : 完成新資料insert(20220602080000) 
2022-06-02 11:18:39.160089 [success] -> mes_ntcent : 處理中...  
2022-06-02 11:18:39.189059 [success] -> mes_ntcent : 完成delete timestamp重複者
2022-06-02 11:18:39.287839 [success] -> mes_ntcent : 完成將原始資料回壓active='N'
2022-06-02 11:18:42.219866 [success] -> mes_ntcent : 完成新資料insert(20220602080000) 
2022-06-02 11:18:42.219866 [success] -> mes_ntclot : 處理中...  
2022-06-02 11:18:42.246791 [success] -> mes_ntclot : 完成delete timestamp重複者
2022-06-02 11:18:42.288690 [success] -> mes_ntclot : 完成將原始資料回壓active='N'
2022-06-02 11:18:42.680676 [success] -> mes_ntclot : 完成新資料insert(20220602080000) 
2022-06-02 11:18:42.680676 [success] -> mes_uph : 處理中...  
2022-06-02 11:18:42.706617 [success] -> mes_uph : 完成delete timestamp重複者
2022-06-02 11:18:42.741519 [success] -> mes_uph : 完成將原始資料回壓active='N'
2022-06-02 11:18:42.966951 [success] -> mes_uph : 完成新資料insert(20220602080000) 
2022-06-02 11:18:42.966951 [success] -> mes_wipoutplantime : 處理中...  
2022-06-02 11:18:43.010830 [success] -> mes_wipoutplantime : 完成delete timestamp重複者
2022-06-02 11:18:43.694804 [success] -> mes_wipoutplantime : 完成將原始資料回壓active='N'
2022-06-02 11:19:00.100306 [success] -> mes_wipoutplantime : 完成新資料insert(20220602080000) 
2022-06-02 11:19:00.100306 -> 完成進行DB execute。
